"Contig","HGT_contig_length"
"NODE_2396_length_5891_cov_3.602467||full_1-(1..918)-K06400-spoIVCA; site-specific DNA recombinase",918
"NODE_2396_length_5891_cov_3.602467||full_2-(920..2671)-K06400-spoIVCA; site-specific DNA recombinase",1752
"NODE_2396_length_5891_cov_3.602467||full_3-(2668..4194)-K06400-spoIVCA; site-specific DNA recombinase",1527
"NODE_1293_length_8425_cov_5.280406||full_6-(3393..5003)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_1293_length_8425_cov_5.280406||full_7-(5004..6641)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_1293_length_8425_cov_5.280406||full_8-(6634..8172)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_2147_length_6315_cov_10.216773||full_8-(2661..4187)-K06400-spoIVCA; site-specific DNA recombinase",1527
"NODE_2147_length_6315_cov_10.216773||full_9-(4063..5760)-K06400-spoIVCA; site-specific DNA recombinase",1698
"NODE_3903_length_4272_cov_4.720180||full_1-(1..1020)-K14059-int; integrase",1020
"NODE_9477_length_2339_cov_4.355954||full_5-(1921..2337)-K06400-spoIVCA; site-specific DNA recombinase",417
"NODE_240_length_18654_cov_7.040701||full_35-(17257..18480)-K14059-int; integrase",1224
"NODE_14046_length_1756_cov_4.388007||full_2-(518..982)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",465
"NODE_377_length_15376_cov_89.806932||full_18-(12781..14319)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_973_length_9720_cov_14.128815||0_partial_3-(1439..3127)-K06400-spoIVCA; site-specific DNA recombinase",1689
"NODE_10992_length_2099_cov_3.619863||full_2-(383..1339)-K04763-xerD; integrase/recombinase XerD",957
"NODE_13507_length_1804_cov_5.156089||full_6-(1411..1803)-K06400-spoIVCA; site-specific DNA recombinase",393
"NODE_3129_length_4957_cov_4.937169||full_1-(1..1194)-K06400-spoIVCA; site-specific DNA recombinase",1194
"NODE_3129_length_4957_cov_4.937169||full_2-(1196..2899)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_3129_length_4957_cov_4.937169||full_3-(2896..4449)-K06400-spoIVCA; site-specific DNA recombinase",1554
"NODE_7469_length_2762_cov_3.340598||full_6-(2100..2759)-K07482-K07482; transposase, IS30 family",660
"NODE_10_length_64149_cov_90.620542||full_2 34966-63501/63501_25-(26829..27848)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_15287_length_1654_cov_2.906817||full_1-(1..873)-K06400-spoIVCA; site-specific DNA recombinase",873
"NODE_17641_length_1487_cov_16.316341||full_5-(1260..1487)-K06400-spoIVCA; site-specific DNA recombinase",228
"NODE_2261_length_6130_cov_6.725761||full_5-(1832..2824)-K04763-xerD; integrase/recombinase XerD",993
"NODE_1187_length_8820_cov_5.477467||full_10-(5615..6919)-K14059-int; integrase",1305
"NODE_1990_length_6634_cov_10.164919||full_2-(285..1304)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_6802_length_2954_cov_13.908934||full_2-(395..1630)-K14059-int; integrase",1236
"NODE_1449_length_4430_cov_5.482971||full_6-(3398..4396)-K04763-xerD; integrase/recombinase XerD",999
"NODE_11274_length_1315_cov_3.813492||full_2-(271..897)-K07482-K07482; transposase, IS30 family",627
"NODE_2115_length_3661_cov_4.364670||full_1-(1..1713)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1713
"NODE_13022_length_1190_cov_2.721586||full_4-(967..1188)-K04763-xerD; integrase/recombinase XerD",222
"NODE_6599_length_1896_cov_6.401955||full_4-(1279..1893)-PF09299.11-Mu transposase, C-terminal",615
"NODE_1811_length_3957_cov_4.633265||full_3-(2149..3393)-K04763-xerD; integrase/recombinase XerD",1245
"NODE_1811_length_3957_cov_4.633265||full_4-(3386..3955)-K04763-xerD; integrase/recombinase XerD",570
"NODE_1495_length_4371_cov_3.284523||full_1-(1..1116)-K06400-spoIVCA; site-specific DNA recombinase",1116
"NODE_11420_length_1305_cov_2.540800||full_4-(859..1302)-K07482-K07482; transposase, IS30 family",444
"NODE_2607_length_3274_cov_3.892203||full_5-(1989..3140)-K14059-int; integrase",1152
"NODE_38_length_17266_cov_6.925513||0_partial_5-(5754..7628)-K06400-spoIVCA; site-specific DNA recombinase",1875
"NODE_300_length_8478_cov_6.017571||full_7-(6739..7563)-K04763-xerD; integrase/recombinase XerD",825
"NODE_1258_length_4792_cov_5.388854||full_1 1-2079/4719_3-(850..1281)-PF01797.16-Transposase IS200 like",432
"NODE_594_length_6521_cov_5.322920||full_5-(3575..4219)-K04763-xerD; integrase/recombinase XerD",645
"NODE_1454_length_4424_cov_4.772259||full_7-(2917..3792)-K04763-xerD; integrase/recombinase XerD",876
"NODE_91_length_12916_cov_9.902651||full_9-(7852..9501)-K06400-spoIVCA; site-specific DNA recombinase",1650
"NODE_91_length_12916_cov_9.902651||full_10-(9506..11197)-K06400-spoIVCA; site-specific DNA recombinase",1692
"NODE_91_length_12916_cov_9.902651||full_11-(11194..12831)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_9123_length_1534_cov_3.112238||full_3-(679..1047)-K07492-K07492; putative transposase",369
"NODE_2290_length_3508_cov_8.044599||full_3-(707..2368)-K06400-spoIVCA; site-specific DNA recombinase",1662
"NODE_2290_length_3508_cov_8.044599||full_4-(2370..3506)-K06400-spoIVCA; site-specific DNA recombinase",1137
"NODE_18_length_20202_cov_5.966149||full_22-(15381..16895)-K06400-spoIVCA; site-specific DNA recombinase",1515
"NODE_2118_length_3657_cov_5.710439||full_2-(324..1937)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_2118_length_3657_cov_5.710439||full_3-(1925..3208)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_2253_length_3532_cov_5.116192||full_1-(1..1491)-K06400-spoIVCA; site-specific DNA recombinase",1491
"NODE_1661_length_4147_cov_5.635142||full_3-(2405..2908)-K06400-spoIVCA; site-specific DNA recombinase",504
"NODE_1661_length_4147_cov_5.635142||full_4-(3069..4085)-K06400-spoIVCA; site-specific DNA recombinase",1017
"NODE_299_length_8486_cov_6.980311||full_10-(4247..6169)-K03733-xerC; integrase/recombinase XerC",1923
"NODE_299_length_8486_cov_6.980311||full_12-(7148..7726)-K03733-xerC; integrase/recombinase XerC",579
"NODE_299_length_8486_cov_6.980311||full_13-(7704..8174)-K04763-xerD; integrase/recombinase XerD",471
"NODE_7819_length_1704_cov_3.265616||full_1-(1..381)-K06400-spoIVCA; site-specific DNA recombinase",381
"NODE_4963_length_2281_cov_4.028751||full_2-(572..1396)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",825
"NODE_4963_length_2281_cov_4.028751||full_3-(1444..1761)-K07483-K07483; transposase",318
"NODE_6621_length_1893_cov_3.752992||full_2-(340..1194)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",855
"NODE_7179_length_1798_cov_3.043029||full_4-(1491..1796)-K06400-spoIVCA; site-specific DNA recombinase",306
"NODE_2932_length_4480_cov_7.490621||full_4-(3543..3920)-PF13022.6-Helix-turn-helix of insertion element transposase",378
"NODE_3308_length_4092_cov_7.229378||full_4-(2262..3773)-K06400-spoIVCA; site-specific DNA recombinase",1512
"NODE_3308_length_4092_cov_7.229378||full_5-(3758..4033)-K06400-spoIVCA; site-specific DNA recombinase",276
"NODE_14_length_47427_cov_13.275775||full_56-(45213..46577)-K06400-spoIVCA; site-specific DNA recombinase",1365
"NODE_4471_length_3174_cov_21.854441||full_3-(1811..2698)-K14059-int; integrase",888
"NODE_33_length_37938_cov_22.327165||full_55-(33159..34712)-K06400-spoIVCA; site-specific DNA recombinase",1554
"NODE_33_length_37938_cov_22.327165||full_57-(35385..36971)-K06400-spoIVCA; site-specific DNA recombinase",1587
"NODE_1820_length_6318_cov_5.322369||full_4-(1328..2842)-K06400-spoIVCA; site-specific DNA recombinase",1515
"NODE_3702_length_3736_cov_2.812279||full_1-(1..546)-PF02920.15-DNA binding domain of tn916 integrase",546
"NODE_5145_length_2812_cov_4.791440||full_4-(1902..2336)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",435
"NODE_3079_length_4338_cov_41.823488||full_2-(455..1690)-K14059-int; integrase",1236
"NODE_6935_length_2161_cov_4.346154||full_1-(1..807)-K06400-spoIVCA; site-specific DNA recombinase",807
"NODE_216_length_18956_cov_4.596423||full_1-(1..1509)-K06400-spoIVCA; site-specific DNA recombinase",1509
"NODE_216_length_18956_cov_4.596423||full_18-(14632..14997)-PF13022.6-Helix-turn-helix of insertion element transposase",366
"NODE_3821_length_3648_cov_3.962984||full_1-(1..468)-K06400-spoIVCA; site-specific DNA recombinase",468
"NODE_3511_length_3918_cov_5.995858||full_3-(744..2273)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1530
"NODE_58_length_32047_cov_8.825425||full_1 5184-31472/31472_1-(337..1557)-K03733-xerC; integrase/recombinase XerC",1221
"NODE_1055_length_8766_cov_6.018597||full_7-(6739..7563)-K04763-xerD; integrase/recombinase XerD",825
"NODE_417_length_14033_cov_12.421090||full_1-(1..1659)-K06400-spoIVCA; site-specific DNA recombinase",1659
"NODE_6_length_56758_cov_14.485830||0_partial_1 1-22289/42631_3-(1815..2909)-K04763-xerD; integrase/recombinase XerD",1095
"NODE_52_length_32565_cov_134.285266||full_50-(31124..32563)-K06400-spoIVCA; site-specific DNA recombinase",1440
"NODE_81_length_28051_cov_62.254465||full_29-(22923..24026)-K14059-int; integrase",1104
"NODE_583_length_12020_cov_11.850230||full_10-(9895..11334)-K06400-spoIVCA; site-specific DNA recombinase",1440
"NODE_12_length_50291_cov_6.827972||full_1 1-40009/49872_3-(1733..3313)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_565_length_12176_cov_12.994142||full_10-(3569..4876)-VOG17662-sp|Q06126|TNPA_BORPP Transposase for insertion sequence element IS1001",1308
"NODE_4056_length_3479_cov_7.721086||full_1-(1..1020)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_2744_length_4733_cov_3.037623||full_1-(1..1263)-K06400-spoIVCA; site-specific DNA recombinase",1263
"NODE_2744_length_4733_cov_3.037623||full_2-(1263..2849)-K06400-spoIVCA; site-specific DNA recombinase",1587
"NODE_4476_length_3415_cov_10.045238||full_3-(1010..2050)-K04763-xerD; integrase/recombinase XerD",1041
"NODE_3414_length_4085_cov_9.374442||full_4-(1820..3538)-VOG00022-sp|P54992|YSNA_STRPR Putative transposase in snaA-snaB intergenic region",1719
"NODE_3414_length_4085_cov_9.374442||full_5-(3553..3915)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",363
"NODE_532_length_11623_cov_4.957642||full_1-(1..1212)-K14059-int; integrase",1212
"NODE_57_length_28909_cov_250.047030||full_34-(24662..26206)-K06400-spoIVCA; site-specific DNA recombinase",1545
"NODE_4062_length_3630_cov_5.628531||full_7-(3009..3260)-PF01527.20-Transposase",252
"NODE_2125_length_5473_cov_4.732004||full_4-(1360..3321)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1962
"NODE_59_length_28341_cov_12.058474||full_37-(25911..27305)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1395
"NODE_47_length_30552_cov_19.545168||full_33-(28316..30310)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1995
"NODE_1140_length_7870_cov_3.984261||full_1-(1..744)-K07496-K07496; putative transposase",744
"NODE_19_length_39728_cov_8.633781||full_47-(34248..35069)-K14059-int; integrase",822
"NODE_4215_length_3554_cov_3.579594||full_2-(95..1366)-K14059-int; integrase",1272
"NODE_2609_length_4820_cov_3.811542||full_2-(528..1730)-K04763-xerD; integrase/recombinase XerD",1203
"NODE_4916_length_3212_cov_10.827368||full_2-(511..1398)-K14059-int; integrase",888
"NODE_14657_length_1501_cov_3.103043||full_1-(1..306)-K07482-K07482; transposase, IS30 family",306
"NODE_3987_length_3678_cov_8.980955||full_1-(1..276)-K06400-spoIVCA; site-specific DNA recombinase",276
"NODE_16518_length_1377_cov_1.816188||full_1-(1..303)-K06400-spoIVCA; site-specific DNA recombinase",303
"NODE_10997_length_1827_cov_4.137133||full_2-(206..547)-K07483-K07483; transposase",342
"NODE_10997_length_1827_cov_4.137133||full_3-(544..1452)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",909
"NODE_4304_length_3513_cov_50.810006||full_2-(572..2248)-K06400-spoIVCA; site-specific DNA recombinase",1677
"NODE_5183_length_3098_cov_30.096287||full_1-(1..741)-K07496-K07496; putative transposase",741
"NODE_9353_length_2050_cov_4.970927||full_2-(852..1202)-K07483-K07483; transposase",351
"NODE_387_length_13726_cov_7.664107||full_1-(1..1596)-K06400-spoIVCA; site-specific DNA recombinase",1596
"NODE_263_length_16232_cov_13.641590||full_1 8048-15477/15477_6-(2847..3782)-K04763-xerD; integrase/recombinase XerD",936
"NODE_3388_length_4107_cov_7.070089||full_6-(3575..4105)-K06400-spoIVCA; site-specific DNA recombinase",531
"NODE_3103_length_4319_cov_4.766886||full_2-(1728..2138)-VOG02220-sp|P59696|T200_SALTY Transposase for insertion sequence element IS200",411
"NODE_3103_length_4319_cov_4.766886||full_4-(2318..3712)-VOG00022-sp|P54992|YSNA_STRPR Putative transposase in snaA-snaB intergenic region",1395
"NODE_11653_length_1756_cov_2.596120||full_3-(767..1621)-K06400-spoIVCA; site-specific DNA recombinase",855
"NODE_1567_length_6552_cov_5.144374||full_1-(1..1467)-K06400-spoIVCA; site-specific DNA recombinase",1467
"NODE_1567_length_6552_cov_5.144374||full_2-(1469..3154)-K06400-spoIVCA; site-specific DNA recombinase",1686
"NODE_1567_length_6552_cov_5.144374||full_3-(3151..4695)-K06400-spoIVCA; site-specific DNA recombinase",1545
"NODE_1567_length_6552_cov_5.144374||full_4-(4710..6017)-K06400-spoIVCA; site-specific DNA recombinase",1308
"NODE_3761_length_6026_cov_3.974711||full_5-(4677..5264)-K04763-xerD; integrase/recombinase XerD",588
"NODE_2647_length_7579_cov_98.757310||full_2-(459..2279)-VOG15133-REFSEQ integrase core domain protein",1821
"NODE_1770_length_9634_cov_45.708633||full_2-(1662..2486)-K04763-xerD; integrase/recombinase XerD",825
"NODE_12398_length_2564_cov_21.705460||full_2-(759..1997)-K14059-int; integrase",1239
"NODE_2381_length_8086_cov_11.364836||full_17-(6705..7016)-PF14659.6-Phage integrase, N-terminal SAM-like domain",312
"NODE_2438_length_7962_cov_5.101176||full_9-(6928..7962)-K06400-spoIVCA; site-specific DNA recombinase",1035
"NODE_5138_length_4903_cov_13.841997||full_5-(2594..4255)-K06400-spoIVCA; site-specific DNA recombinase",1662
"NODE_1447_length_10744_cov_20.486014||full_1-(1..990)-K06400-spoIVCA; site-specific DNA recombinase",990
"NODE_1447_length_10744_cov_20.486014||full_2-(978..2261)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_786_length_15020_cov_42.535182||full_1 1-13834/15016_5-(9059..10051)-K04763-xerD; integrase/recombinase XerD",993
"NODE_4580_length_5315_cov_10.674525||full_5-(1832..2824)-K04763-xerD; integrase/recombinase XerD",993
"NODE_6878_length_3975_cov_4.904592||full_2-(694..1740)-K07482-K07482; transposase, IS30 family",1047
"NODE_5319_length_4773_cov_7.145401||full_1-(1..1530)-K06400-spoIVCA; site-specific DNA recombinase",1530
"NODE_2148_length_8604_cov_9.261551||full_2-(418..2085)-K06400-spoIVCA; site-specific DNA recombinase",1668
"NODE_2148_length_8604_cov_9.261551||full_3-(2087..3772)-K06400-spoIVCA; site-specific DNA recombinase",1686
"NODE_2148_length_8604_cov_9.261551||full_4-(3769..5316)-K06400-spoIVCA; site-specific DNA recombinase",1548
"NODE_2148_length_8604_cov_9.261551||full_5-(5484..5888)-K06400-spoIVCA; site-specific DNA recombinase",405
"NODE_2148_length_8604_cov_9.261551||full_6-(6000..6932)-K06400-spoIVCA; site-specific DNA recombinase",933
"NODE_2148_length_8604_cov_9.261551||full_7-(6934..8091)-K06400-spoIVCA; site-specific DNA recombinase",1158
"NODE_893_length_14053_cov_13.696028||full_6-(2570..3703)-K04763-xerD; integrase/recombinase XerD",1134
"NODE_8996_length_3275_cov_5.517391||full_2-(509..2587)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2079
"NODE_10768_length_2851_cov_5.177754||full_4-(1095..2849)-K06400-spoIVCA; site-specific DNA recombinase",1755
"NODE_1857_length_9361_cov_25.239201||full_5-(1671..3068)-K14059-int; integrase",1398
"NODE_8333_length_3456_cov_6.756248||full_3-(695..2416)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1722
"NODE_20544_length_1736_cov_2.831053||full_2-(50..490)-K06400-spoIVCA; site-specific DNA recombinase",441
"NODE_20544_length_1736_cov_2.831053||full_3-(494..1492)-K06400-spoIVCA; site-specific DNA recombinase",999
"NODE_6544_length_4135_cov_6.288725||full_2-(803..1792)-K06400-spoIVCA; site-specific DNA recombinase",990
"NODE_6544_length_4135_cov_6.288725||full_3-(1777..2787)-K06400-spoIVCA; site-specific DNA recombinase",1011
"NODE_6544_length_4135_cov_6.288725||full_4-(2780..3979)-K06400-spoIVCA; site-specific DNA recombinase",1200
"NODE_6349_length_4228_cov_3.648215||full_2-(260..1294)-K03733-xerC; integrase/recombinase XerC",1035
"NODE_10178_length_2988_cov_14.162632||full_4-(1591..2637)-K04763-xerD; integrase/recombinase XerD",1047
"NODE_6734_length_4042_cov_317.599448||full_6-(3281..3601)-K03733-xerC; integrase/recombinase XerC",321
"NODE_7559_length_3704_cov_4.195122||full_2-(330..1991)-K06400-spoIVCA; site-specific DNA recombinase",1662
"NODE_7559_length_3704_cov_4.195122||full_3-(1993..3633)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_4172_length_5653_cov_162.790461||full_5-(1782..2213)-PF01797.16-Transposase IS200 like",432
"NODE_9732_length_3093_cov_5.281764||full_2-(364..1428)-K07482-K07482; transposase, IS30 family",1065
"NODE_6866_length_3983_cov_10.660132||full_1-(1..369)-K06400-spoIVCA; site-specific DNA recombinase",369
"NODE_6866_length_3983_cov_10.660132||full_2-(409..1998)-K06400-spoIVCA; site-specific DNA recombinase",1590
"NODE_6866_length_3983_cov_10.660132||full_3-(1995..3689)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_7459_length_3740_cov_24.400814||full_3-(1537..3216)-K06400-spoIVCA; site-specific DNA recombinase",1680
"NODE_7459_length_3740_cov_24.400814||full_4-(3218..3739)-K06400-spoIVCA; site-specific DNA recombinase",522
"NODE_13005_length_2473_cov_4.034326||full_2-(267..920)-PF09588.10-YqaJ-like viral recombinase domain",654
"NODE_8201_length_3495_cov_7.002035||full_5-(2505..3401)-K04763-xerD; integrase/recombinase XerD",897
"NODE_14628_length_2255_cov_9.284091||full_2-(693..1265)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",573
"NODE_14628_length_2255_cov_9.284091||full_3-(1380..1610)-PF13333.6-Integrase core domain",231
"NODE_10385_length_2941_cov_21.032918||full_1-(1..1041)-K07482-K07482; transposase, IS30 family",1041
"NODE_9_length_76168_cov_43.767280||full_1 6243-76039/76039_44-(35185..36585)-K06400-spoIVCA; site-specific DNA recombinase",1401
"NODE_9_length_76168_cov_43.767280||full_1 6243-76039/76039_93-(66042..67013)-K04763-xerD; integrase/recombinase XerD",972
"NODE_9_length_76168_cov_43.767280||full_1 6243-76039/76039_94-(67010..67999)-K04763-xerD; integrase/recombinase XerD",990
"NODE_9_length_76168_cov_43.767280||full_1 6243-76039/76039_95-(67986..69014)-K03733-xerC; integrase/recombinase XerC",1029
"NODE_3303_length_6576_cov_26.521239||full_2-(251..1660)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1410
